Id	Desc	Name
int	int	string	string
#唯一Id	#唯一Id	技能描述	技能名称
1003	1003	desc3	pugong3
1004	1004	desc4	pugong4
1005	1005	desc5	pugong5
1006	1006	desc6	pugong6
1007	1007	desc7	pugong7
1008	1008	desc8	pugong8
1009	1009	desc9	pugong9
1010	1010	desc10	pugong10
1011	1011	desc11	pugong11
1012	1012	desc12	pugong12
1013	1013	desc13	pugong13
1014	1014	desc14	pugong14
1015	1015	desc15	pugong15
1016	1016	desc16	pugong16
1017	1017	desc17	pugong17
1018	1018	desc18	pugong18
1019	1019	desc19	pugong19
1020	1020	desc20	pugong20
1021	1021	desc21	pugong21
1022	1022	desc22	pugong22
1023	1023	desc23	pugong23
1024	1024	desc24	pugong24
1025	1025	desc25	pugong25
1026	1026	desc26	pugong26
1027	1027	desc27	pugong27
1028	1028	desc28	pugong28
1029	1029	desc29	pugong29
1030	1030	desc30	pugong30
1031	1031	desc31	pugong31
1032	1032	desc32	pugong32
1033	1033	desc33	pugong33
1034	1034	desc34	pugong34
1035	1035	desc35	pugong35
1036	1036	desc36	pugong36
